actual_price,predicted_price
8158500.000000004,8352276.001224249
1800000.000000001,2245562.8329493557
4999999.000000003,5153277.374704157
4000000.0000000005,5024315.403244586
37500000.0,55242203.70886016
6790000.000000004,6073492.789073778
6499999.999999999,17033469.369396877
6950000.000000006,6502559.53047318
5800000.0,5445277.481249605
5699999.999999996,3943792.0335489917
16700000.000000022,17200406.298088994
12799999.99999998,8933451.782157393
9999999.999999996,7135143.29560155
13700000.000000017,11826689.714747606
4999999.999999999,365388.8007138743
9.000000000000002,8.999999999999927
19900000.00000001,13926200.29986407
1650000.0000000007,3140781.752244536
4050000.0000000033,3950642.135533437
7154999.9999999935,10298409.040043551
2900000.0000000014,2757275.038801876
8499999.999999998,7342030.907333076
8999999.999999996,8721116.002794944
20999999.99999998,28809134.350854576
8800000.000000006,10927347.832525024
17999999.999999985,13500812.892914465
4999999.999999999,4354568.759791739
16999999.999999974,27271435.3345863
10199999.999999985,8792512.218154
3000000.000000001,2895008.0417350046
50000000.00000009,24213934.23171411
8586000.000000007,9161097.98870805
3499999.9999999995,4127898.8694277876
8400000.000000006,10279042.218846705
26999999.999999993,15364277.50213759
4700000.000000004,4550684.49311038
30999999.999999978,27540961.96955678
6690000.000000005,8571342.884111667
12499999.999999985,14858116.379844675
4199999.999999997,5387753.079040721
9.000000000000002,8.999999999999936
13000000.000000013,13932696.938488023
6999999.999999995,9062878.909549652
9200000.000000004,8448319.965702778
3200000.0000000023,3029600.431227937
3499999.9999999995,5398966.153239767
12499999.999999985,8454946.727398684
6999999.999999995,5545067.263718727
15599999.999999981,16194759.171052283
4449999.999999997,6331730.691358477
22000000.000000007,14785727.206652481
3351000.000000001,2781534.323679719
3000000.000000001,15083.995665119892
7199999.9999999935,270645.4930433399
4000000.0000000005,7279477.928573826
52499999.999999985,43518651.670783006
4700000.000000004,5375263.9764996
3499999.9999999995,5721700.501886006
50000000.00000009,42888697.20933457
11800000.000000013,10941358.610494427
12499999.999999985,569024.9646728763
2199999.9999999995,2147513.3933816124
7649999.999999994,7915158.535611659
42000000.00000003,22160327.6005544
6300000.000000002,19367975.536944285
5699999.999999996,7180711.33613107
38400000.00000002,36472638.37621777
4500000.000000002,6078379.211093048
9809999.999999987,6265379.780931426
15000000.00000001,24196593.738022573
16500000.000000013,13844123.006708141
18500000.000000034,16548437.711044824
5500000.000000001,4492221.8823793
8499999.999999998,206513.5222378945
4700000.000000004,1029.390326420963
20500000.000000022,8948518.885568898
1849999.9999999995,2445578.270205963
27500000.000000015,26149862.91088901
5199999.999999999,4229763.208531007
4900000.000000004,3883158.3504952043
9.000000000000002,8.999999999999936
15499999.999999987,12840921.149565483
5300000.000000001,6100502.795005778
5100000.000000003,5002234.601325071
3146499.9999999995,3182783.446962322
3499999.9999999995,5051895.765388912
3550000.0000000014,3743173.2964440165
35000000.000000015,31485883.855122056
9.000000000000002,7312671.581292325
3000000.000000001,3564708.687126889
37999999.99999996,20826483.979691096
2000000.0000000016,2597233.196920592
2800000.000000002,6024974.317458799
14000000.00000001,8606917.696445836
7190000.000000004,7120848.213471247
12000000.000000007,12396221.043256344
5800000.0,5390145.758124328
5500000.000000001,5778670.8718155585
67499999.99999988,44434564.29276304
4098999.9999999986,2109.590586615501
3000000.000000001,2446861.1713850573
5800000.0,8028076.175665632
6250000.000000005,6122415.432769303
12000000.000000007,9681131.792014506
50000000.00000009,33804251.00930982
29300000.000000007,38768001.63492011
6300000.000000002,7000395.663203581
4099999.999999998,5265365.246847956
1800000.000000001,7559362.698039598
2250000.000000001,6149282.963094141
6000000.0,6041130.520131123
17999999.999999985,6473526.04409088
19099999.999999978,17851374.33147967
12499999.999999985,13390065.397653032
8499999.999999998,1518397.0595912924
3200000.0000000023,6056787.097234753
24999999.999999963,25067818.133959983
33000000.000000015,15716554.544107538
9.000000000000002,8.999999999999927
11500000.000000019,11005867.166370533
9357799.99999999,8516832.846421296
6000000.0,7361580.90802988
2700000.0,3998939.2039584536
6000000.0,1041798.0952237272
9500000.000000015,4688965.8161549615
20000000.000000015,2217009.9992801542
12099999.999999993,5611839.481743295
7500000.000000002,11236262.525165834
15000000.00000001,15606951.781534292
9.000000000000002,8.999999999999927
6099999.999999996,6162837.498731959
8000000.000000002,4691372.719522309
2905000.0000000014,2811671.4554560613
2599999.9999999986,2219951.4222062672
15000000.00000001,7543774.768242562
6699999.999999995,5303484.336922451
3449999.999999999,659876.071105169
2499999.9999999995,3833647.1898953444
60899999.99999996,41164027.9355465
7500000.000000002,7083076.553503846
2779999.9999999977,4355385.237932294
4799999.999999999,7529692.126638278
39999999.999999985,9501801.34232052
4220000.0,6265.957194832835
6499999.999999999,13081725.302540656
12499999.999999985,33532266.729097366
8123500.000000001,8379155.509697589
3600000.0000000014,3158867.9660167717
8000000.000000002,8261932.903130567
1200000.0000000005,1817732.9467107905
